"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
"SOLI BCP","Realizar la consulta de ultimos movimientos","FAILURE","2023-12-13T12:30:59.417138-05:00[America/Lima]","0.0","48.89"
