"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar la recarga de credito","FAILURE","2023-12-13T15:32:25.029014-05:00[America/Lima]","0.0","93.57"
"SOLI BCP","Realizar la recarga de credito","FAILURE","2023-12-13T15:32:25.029014-05:00[America/Lima]","0.0","93.57"
"SOLI BCP","Realizar la recarga de credito","FAILURE","2023-12-13T15:32:25.029014-05:00[America/Lima]","0.0","93.57"
"SOLI BCP","Realizar la recarga de credito","FAILURE","2023-12-13T15:32:25.029014-05:00[America/Lima]","0.0","93.57"
"SOLI BCP","Realizar la recarga de credito","FAILURE","2023-12-13T15:32:25.029014-05:00[America/Lima]","0.0","93.57"
