"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
"SOLI BCP","Realizar todos los flujos de YAPE","FAILURE","2023-12-14T14:51:56.788934-05:00[America/Lima]","0.0","343.99"
