"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
"SOLI BCP","Realizar la operacion retirar dinero","FAILURE","2023-09-05T08:47:36.683021-05:00[America/Lima]","0.0","44.4"
