"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
"SOLI BCP","Realizar el pago de servicio LUZ ELECTRICA","FAILURE","2023-12-14T08:18:02.028-05:00[America/Lima]","0.0","142.36"
