"Story","Title","Result","Date","Stability","Duration (s)"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
"SOLI BCP","Realizar consulta transferencias a otros bancos","FAILURE","2023-09-29T11:56:30.009707-05:00[America/Lima]","0.0","46.31"
